isAdapt,round,chain,value
true,0,115,0.09448818897637795
true,0,116,0.08661417322834646
true,0,117,0.07874015748031496
true,0,118,0.07086614173228346
true,0,119,0.06299212598425197
true,0,120,0.05511811023622047
true,0,121,0.047244094488188976
true,0,122,0.03937007874015748
true,0,123,0.031496062992125984
true,0,124,0.023622047244094488
true,0,125,0.015748031496062992
true,0,126,0.007874015748031496
true,1,0,1.0
true,1,1,0.9469459306756237
true,1,2,0.8954836540977247
true,1,3,0.892321817892109
true,1,4,0.8820043397519292
true,1,5,0.8543545421138489
true,1,6,0.845685548434477
true,1,7,0.839168051865052
true,1,8,0.8125517250633264
true,1,9,0.7307207845996028
true,1,10,0.6919942070258068
true,1,11,0.6516895031072141
true,1,12,0.6369385699058033
true,1,13,0.6124749321840525
true,1,14,0.5661159194014361
true,1,15,0.5594056937351018
true,1,16,0.5504966236633881
true,1,17,0.5094388642296018
true,1,18,0.4650649126650348
true,1,19,0.46229975099913645
true,1,20,0.4606985415848599
true,1,21,0.4590130053495915
true,1,22,0.438268266137841
true,1,23,0.43456378042501764
true,1,24,0.4303828998370252
true,1,25,0.3610006030282832
true,1,26,0.3532867417310839
true,1,27,0.35008486963758867
true,1,28,0.3354258367566852
true,1,29,0.3069955780942428
true,1,30,0.30079534774368
true,1,31,0.26299852094839615
true,1,32,0.25460482014039926
true,1,33,0.22289805681552594
true,1,34,0.21902870305717276
true,1,35,0.21620235986001046
true,1,36,0.20401623955524623
true,1,37,0.20183646301312008
true,1,38,0.20033032768822087
true,1,39,0.19876450794757183
true,1,40,0.19512608106458992
true,1,41,0.1846209186093418
true,1,42,0.1799128548745895
true,1,43,0.17592100723846757
true,1,44,0.13957711674104098
true,1,45,0.1381310316785972
true,1,46,0.13689222603944284
true,1,47,0.1356298701102114
true,1,48,0.13404269645792122
true,1,49,0.1316639108233553
true,1,50,0.1283673284264843
true,1,51,0.11477337516447457
true,1,52,0.11173372921731356
true,1,53,0.08385090229964198
true,1,54,0.08076666311061037
true,1,55,0.06819933358428952
true,1,56,0.06618328060409712
true,1,57,0.05467520363030415
true,1,58,0.052596341893344785
true,1,59,0.05138364562873964
true,1,60,0.05030022846469583
true,1,61,0.04920425796935728
true,1,62,0.047931965902090194
true,1,63,0.04607540265095723
true,1,64,0.04387583098156643
true,1,65,0.039980664764164266
true,1,66,0.02973406937469561
true,1,67,0.02889901403531868
true,1,68,0.028207357668942376
true,1,69,0.027577285174437655
true,1,70,0.026974025381853554
true,1,71,0.026375053061410254
true,1,72,0.025759474437387346
true,1,73,0.025099600524969855
true,1,74,0.02434191153823783
true,1,75,0.023324600511763202
true,1,76,0.02208577204183906
true,1,77,0.020658636755975048
